CELL10MIN,xcoord,ycoord,lake
707,-86.91666794,45.08333588,MI
707,-78.91666794,43.3333416,ON
708,-82.25,41.91667366,ER
708,-86.75,45.08333588,MI
708,-78.75,43.3333416,ON
709,-82.08333206,41.91667366,ER
709,-83.41666794,45.25000572,HU
709,-86.58333206,45.08333588,MI
709,-78.58333206,43.41667557,ON
710,-81.91666794,41.91667366,ER
710,-83.25,45.25000572,HU
710,-86.41666794,45.08333588,MI
710,-78.41666794,43.41667557,ON
711,-81.75,41.91667366,ER
711,-83.08333206,45.25000572,HU
711,-86.25,45.08333588,MI
711,-78.25,43.41667557,ON
712,-81.58333206,41.91667366,ER
712,-82.91666794,45.25000572,HU
712,-86.08333206,45.08333588,MI
712,-78.08333206,43.41667557,ON
713,-81.41666794,41.91667366,ER
713,-82.75,45.25000572,HU
713,-85.91666794,45.08333588,MI
713,-77.91666794,43.41667557,ON
714,-81.25,41.91667366,ER
714,-82.58333206,45.25000572,HU
714,-85.75,45.08333588,MI
714,-89.91666794,47.91667557,SU
714,-77.75,43.41667557,ON
715,-81.08333206,41.91667366,ER
715,-82.41666794,45.25000572,HU
715,-85.58333206,45.08333588,MI
715,-89.75,47.91667557,SU
715,-77.58333206,43.41667557,ON
716,-80.91666794,41.91667366,ER
716,-82.25,45.25000572,HU
716,-85.41666794,45.08333588,MI
716,-89.58333206,47.91667557,SU
716,-77.41666794,43.41667557,ON
717,-80.75,41.91667366,ER
717,-82.08333206,45.25000572,HU
717,-89.41666794,47.91667557,SU
717,-77.25,43.41667557,ON
718,-80.58333206,41.91667366,ER
718,-81.91666794,45.25000572,HU
718,-89.25,47.91667557,SU
718,-77.08333206,43.41667557,ON
719,-80.41666794,41.91667366,ER
719,-81.75,45.25000572,HU
719,-89.08333206,47.91667557,SU
719,-76.91666794,43.41667557,ON
720,-81.58333206,45.25000572,HU
720,-88.91666794,47.91667557,SU
720,-76.75,43.3333416,ON
721,-81.41666794,45.25000572,HU
721,-88.75,47.91667557,SU
721,-76.58333206,43.41667557,ON
722,-81.25,45.25000572,HU
722,-88.58333206,47.91667557,SU
723,-81.08333206,45.25000572,HU
723,-88.41666794,47.91667557,SU
724,-80.91666794,45.25000572,HU
724,-88.25,47.91667557,SU
725,-80.75,45.25000572,HU
725,-88.08333206,47.91667557,SU
726,-80.58333206,45.25000572,HU
726,-87.91666794,47.91667557,SU
727,-80.41666794,45.25000572,HU
727,-87.75,47.91667557,SU
728,-80.25,45.25000572,HU
728,-87.58333206,47.91667557,SU
729,-80.08333206,45.25000572,HU
729,-87.41666794,47.91667557,SU
730,-87.25,47.91667557,SU
731,-87.08333206,47.91667557,SU
732,-86.91666794,47.91667557,SU
733,-86.75,47.91667557,SU
734,-86.58333206,47.91667557,SU
735,-86.41666794,47.91667557,SU
736,-86.25,47.91667557,SU
737,-86.08333206,47.91667557,SU
738,-85.91666794,47.91667557,SU
739,-85.75,47.91667557,SU
740,-85.58333206,47.91667557,SU
741,-85.41666794,47.91667557,SU
742,-85.25,47.91667557,SU
743,-85.08333206,47.91667557,SU
744,-84.91666794,47.91667557,SU
801,-83.41666794,41.75001144,ER
801,-79.91666794,43.25000572,ON
802,-83.25,41.75001144,ER
802,-87.83333206,44.91667557,MI
802,-79.75,43.25000572,ON
803,-83.08333206,41.75001144,ER
803,-87.58333206,44.91667557,MI
803,-79.58333206,43.25000572,ON
804,-82.91666794,41.75001144,ER
804,-87.41666794,44.91667557,MI
804,-79.41666794,43.25000572,ON
805,-82.75,41.75001144,ER
805,-87.25,44.91667557,MI
805,-79.25,43.25000572,ON
806,-82.58333206,41.75001144,ER
806,-87.08333206,44.91667557,MI
806,-79.08333206,43.25000572,ON
807,-82.41666794,41.75001144,ER
807,-86.91666794,44.91667557,MI
808,-82.25,41.75001144,ER
808,-86.75,44.91667557,MI
809,-82.08333206,41.75001144,ER
809,-83.41666794,45.08333588,HU
809,-86.58333206,44.91667557,MI
810,-81.91666794,41.75001144,ER
810,-83.25,45.08333588,HU
810,-86.41666794,44.91667557,MI
811,-81.75,41.75001144,ER
811,-83.08333206,45.08333588,HU
811,-86.25,44.91667557,MI
811,-90.5,47.75001526,SU
812,-81.58333206,41.75001144,ER
812,-82.91666794,45.08333588,HU
812,-86.08333206,44.91667557,MI
812,-90.25,47.75001526,SU
813,-81.41666794,41.75001144,ER
813,-82.75,45.08333588,HU
813,-85.91666794,44.91667557,MI
813,-90.08333206,47.75001526,SU
814,-81.25,41.75001144,ER
814,-82.58333206,45.08333588,HU
814,-85.75,44.91667557,MI
814,-89.91666794,47.75001526,SU
815,-81.08333206,41.75001144,ER
815,-82.41666794,45.08333588,HU
815,-85.58333206,44.91667557,MI
815,-89.75,47.75001526,SU
815,-77.66666794,43.25000572,ON
816,-82.25,45.08333588,HU
816,-85.41666794,44.91667557,MI
816,-89.58333206,47.75001526,SU
816,-77.41666794,43.25000572,ON
817,-82.08333206,45.08333588,HU
817,-89.41666794,47.75001526,SU
817,-77.25,43.25000572,ON
818,-81.91666794,45.08333588,HU
818,-89.25,47.75001526,SU
818,-77.08333206,43.25000572,ON
819,-81.75,45.08333588,HU
819,-89.08333206,47.75001526,SU
819,-76.91666794,43.25000572,ON
820,-81.5,45.08333588,HU
820,-88.91666794,47.75001526,SU
821,-88.75,47.75001526,SU
822,-81.25,45.08333588,HU
822,-88.58333206,47.75001526,SU
823,-81.08333206,45.08333588,HU
823,-88.41666794,47.75001526,SU
824,-80.91666794,45.08333588,HU
824,-88.25,47.75001526,SU
825,-80.75,45.08333588,HU
825,-88.08333206,47.75001526,SU
826,-80.58333206,45.08333588,HU
826,-87.91666794,47.75001526,SU
827,-80.41666794,45.08333588,HU
827,-87.75,47.75001526,SU
828,-80.25,45.08333588,HU
828,-87.58333206,47.75001526,SU
829,-80.08333206,45.08333588,HU
829,-87.41666794,47.75001526,SU
830,-79.91666794,45.08333588,HU
830,-87.25,47.75001526,SU
831,-87.08333206,47.75001526,SU
832,-86.91666794,47.75001526,SU
833,-86.75,47.75001526,SU
834,-86.58333206,47.75001526,SU
835,-86.41666794,47.75001526,SU
836,-86.25,47.75001526,SU
837,-86.08333206,47.75001526,SU
838,-85.91666794,47.75001526,SU
839,-85.75,47.75001526,SU
840,-85.58333206,47.75001526,SU
841,-85.41666794,47.75001526,SU
842,-85.25,47.75001526,SU
843,-85.08333206,47.75001526,SU
844,-84.91666794,47.75001526,SU
901,-87.91666794,44.75001526,MI
902,-83.25,41.5833416,ER
902,-87.66666794,44.75001526,MI
903,-83.08333206,41.5833416,ER
904,-82.91666794,41.5833416,ER
905,-82.75,41.5833416,ER
905,-87.33333206,44.75001526,MI
906,-82.58333206,41.5833416,ER
906,-87.08333206,44.75001526,MI
907,-82.41666794,41.5833416,ER
907,-86.91666794,44.75001526,MI
908,-82.25,41.5833416,ER
908,-86.75,44.75001526,MI
908,-90.91666794,47.58334541,SU
909,-82.08333206,41.5833416,ER
909,-83.41666794,44.91667557,HU
909,-86.58333206,44.75001526,MI
909,-90.75,47.58334541,SU
910,-81.91666794,41.5833416,ER
910,-83.25,44.91667557,HU
910,-86.41666794,44.75001526,MI
910,-90.58333206,47.58334541,SU
911,-81.75,41.5833416,ER
911,-83.08333206,44.91667557,HU
911,-86.25,44.75001526,MI
911,-90.41666794,47.58334541,SU
912,-81.58333206,41.5833416,ER
912,-82.91666794,44.91667557,HU
912,-86.08333206,44.75001526,MI
912,-90.25,47.58334541,SU
913,-81.41666794,41.5833416,ER
913,-82.75,44.91667557,HU
913,-90.08333206,47.58334541,SU
914,-82.58333206,44.91667557,HU
914,-89.91666794,47.58334541,SU
915,-82.41666794,44.91667557,HU
915,-85.58333206,44.75001526,MI
915,-89.75,47.58334541,SU
916,-82.25,44.91667557,HU
916,-85.41666794,44.75001526,MI
916,-89.58333206,47.58334541,SU
917,-82.08333206,44.91667557,HU
917,-89.41666794,47.58334541,SU
918,-81.91666794,44.91667557,HU
918,-89.25,47.58334541,SU
919,-81.75,44.91667557,HU
919,-89.08333206,47.58334541,SU
920,-81.58333206,44.91667557,HU
920,-88.91666794,47.58334541,SU
921,-81.41666794,44.91667557,HU
921,-88.75,47.58334541,SU
922,-88.58333206,47.58334541,SU
923,-81.16666794,44.91667557,HU
923,-88.41666794,47.58334541,SU
924,-80.91666794,44.91667557,HU
924,-88.25,47.58334541,SU
925,-80.75,44.91667557,HU
925,-88.08333206,47.50000954,SU
926,-80.58333206,44.91667557,HU
926,-87.91666794,47.58334541,SU
927,-80.41666794,44.91667557,HU
927,-87.75,47.58334541,SU
928,-80.25,44.91667557,HU
928,-87.58333206,47.58334541,SU
929,-80.08333206,44.91667557,HU
929,-87.41666794,47.58334541,SU
930,-79.91666794,44.91667557,HU
930,-87.25,47.58334541,SU
931,-79.75,44.91667557,HU
931,-87.08333206,47.58334541,SU
932,-86.91666794,47.58334541,SU
933,-86.75,47.58334541,SU
934,-86.58333206,47.58334541,SU
